record_id,enumerator_id,region,age,gender,education,occupation,employment_status,hours_worked,monthly_income,household_size,survey_date,is_planted_anomaly
REC000018,ENU0152,Gujarat,33,Female,Secondary,Driver,Employed,56,10525,4,2025-11-27,False
REC000019,ENU0052,Tamil Nadu,39,Male,Graduate,Sales Executive,Employed,37,15366,4,2025-08-18,False
REC000020,ENU0108,Punjab,22,Female,Primary,None,Not in Labour Force,0,0,5,2025-07-07,False
REC000021,ENU0185,Andhra Pradesh,48,Male,Graduate,Clerk,Employed,43,21008,7,2025-09-03,False
REC000022,ENU0057,West Bengal,20,Male,Primary,Factory Worker,Employed,34,8915,2,2025-10-12,False
REC000023,ENU0049,Rajasthan,34,Male,Primary,None,Unemployed,0,0,4,2025-02-18,False
REC000024,ENU0077,Odisha,37,Female,Secondary,Street Vendor,Employed,58,13685,5,2025-12-09,False
REC000025,ENU0063,Maharashtra,36,Male,Illiterate,Agricultural Labourer,Employed,44,6094,5,2025-02-23,False
REC000026,ENU0058,Odisha,5,Female,Illiterate,None,Not in Labour Force,0,0,6,2025-09-09,False
REC000027,ENU0084,Punjab,48,Male,Higher Secondary,Clerk,Employed,20,7421,6,2025-10-31,False
REC000028,ENU0014,Odisha,43,Male,Secondary,Driver,Employed,56,10000,1,2025-02-02,False
REC000029,ENU0221,Bihar,33,Female,Secondary,None,Unemployed,0,0,4,2025-09-08,False
REC000030,ENU0136,Karnataka,71,Male,Secondary,None,Not in Labour Force,0,0,4,2025-10-10,False
REC000031,ENU0075,Kerala,36,Female,Higher Secondary,Technician,Employed,38,10133,8,2025-11-25,False
REC000032,ENU0122,Punjab,26,Male,Secondary,None,Unemployed,0,0,7,2025-11-02,False
REC000033,ENU0239,Rajasthan,33,Female,Secondary,Carpenter,Employed,46,11415,5,2025-03-07,False
REC000034,ENU0091,Bihar,37,Female,Graduate,Clerk,Unemployed,0,0,4,2025-02-11,False
REC000035,ENU0103,Odisha,22,Male,Higher Secondary,None,Unemployed,0,0,9,2025-10-21,False
REC000036,ENU0013,Bihar,28,Male,Graduate,Clerk,Unemployed,0,0,2,2025-09-06,False
REC000037,ENU0155,West Bengal,14,Male,Primary,None,Not in Labour Force,0,0,2,2025-12-22,False
REC000038,ENU0065,Madhya Pradesh,20,Female,Secondary,None,Not in Labour Force,0,0,4,2025-05-25,False
REC000039,ENU0091,Bihar,40,Male,Secondary,Street Vendor,Unemployed,0,0,5,2025-11-06,False
REC000040,ENU0203,Kerala,43,Male,Secondary,Street Vendor,Employed,47,11586,5,2025-10-26,False
REC000041,ENU0176,Kerala,38,Female,Higher Secondary,Carpenter,Employed,36,10270,3,2025-08-09,False
REC000042,ENU0008,Andhra Pradesh,32,Male,Graduate,Clerk,Employed,32,10740,9,2025-03-24,False
REC000043,ENU0172,Gujarat,33,Male,Higher Secondary,None,Not in Labour Force,0,0,4,2025-05-12,False
REC000044,ENU0128,Karnataka,42,Female,Illiterate,Street Vendor,Employed,33,6605,4,2025-10-26,False
REC000045,ENU0023,Punjab,51,Male,Post Graduate,Engineer,Employed,46,64428,1,2025-12-04,False
REC000046,ENU0001,Bihar,36,Male,Higher Secondary,Driver,Unemployed,0,0,3,2025-02-17,False
REC000047,ENU0025,Tamil Nadu,43,Male,Illiterate,Domestic Help,Employed,25,3273,2,2025-07-18,False
REC000048,ENU0118,West Bengal,30,Female,Primary,Factory Worker,Employed,51,9503,6,2025-02-02,False
REC000049,ENU0089,Bihar,46,Male,Secondary,None,Not in Labour Force,5,0,6,2025-05-26,False
REC000050,ENU0216,Maharashtra,44,Male,Primary,None,Not in Labour Force,0,0,2,2025-08-07,False
REC000051,ENU0120,West Bengal,35,Male,Graduate,None,Not in Labour Force,0,0,3,2025-01-21,False
REC000052,ENU0191,Maharashtra,40,Male,Graduate,Teacher,Employed,29,22866,6,2025-02-18,False
REC000053,ENU0172,Punjab,40,Female,Graduate,Sales Executive,Employed,61,36790,1,2025-06-20,False
REC000054,ENU0112,West Bengal,36,Female,Higher Secondary,Clerk,Employed,21,10032,7,2025-10-02,False
REC000055,ENU0089,Andhra Pradesh,33,Female,Secondary,Carpenter,Employed,39,12329,3,2025-04-21,False
REC000056,ENU0107,Karnataka,48,Female,Higher Secondary,Clerk,Employed,60,23516,4,2025-09-08,False
REC000057,ENU0225,Telangana,22,Male,Higher Secondary,Carpenter,Employed,34,12331,6,2025-09-08,False
REC000058,ENU0186,West Bengal,72,Male,Graduate,None,Not in Labour Force,0,0,6,2025-09-17,False
REC000059,ENU0053,Assam,34,Male,Graduate,None,Not in Labour Force,0,0,7,2025-07-04,False
REC000060,ENU0052,Rajasthan,39,Female,Secondary,Carpenter,Employed,25,7930,4,2025-07-31,False
REC000061,ENU0130,Telangana,13,Male,Primary,None,Not in Labour Force,9,0,6,2025-01-16,False
REC000062,ENU0146,Bihar,43,Female,Higher Secondary,Technician,Unemployed,0,0,2,2025-07-17,False
REC000063,ENU0028,Odisha,28,Male,Illiterate,None,Not in Labour Force,4,0,4,2025-09-12,False
REC000064,ENU0184,West Bengal,48,Male,Secondary,Carpenter,Employed,25,9018,2,2025-07-08,False
REC000065,ENU0025,Bihar,48,Male,Post Graduate,Teacher,Unemployed,0,0,5,2025-12-17,False
REC000066,ENU0142,Uttar Pradesh,30,Male,Secondary,Street Vendor,Employed,46,6241,5,2025-12-03,False
REC000067,ENU0193,West Bengal,53,Male,Secondary,Driver,Employed,41,12388,8,2025-05-25,False
REC000068,ENU0071,Punjab,32,Male,Graduate,Teacher,Employed,48,25102,9,2025-06-20,False
REC000069,ENU0053,Bihar,34,Female,Graduate,IT Professional,Unemployed,0,0,3,2025-12-07,False
REC000070,ENU0209,Rajasthan,9,Female,Primary,None,Not in Labour Force,0,0,3,2025-11-17,False
REC000071,ENU0164,Gujarat,26,Male,Primary,Agricultural Labourer,Employed,42,7456,1,2025-06-16,False
REC000072,ENU0204,Maharashtra,21,Female,Higher Secondary,Technician,Employed,31,8854,3,2025-04-06,False
REC000073,ENU0200,Rajasthan,27,Male,Higher Secondary,None,Not in Labour Force,5,0,6,2025-03-26,False
REC000074,ENU0131,Gujarat,28,Female,Graduate,Sales Executive,Employed,53,28017,9,2025-02-14,False
REC000075,ENU0186,Gujarat,25,Female,Higher Secondary,None,Unemployed,0,0,4,2025-01-12,False
REC000076,ENU0116,Andhra Pradesh,35,Female,Higher Secondary,None,Not in Labour Force,0,0,5,2025-05-20,False
REC000077,ENU0007,Tamil Nadu,16,Male,Secondary,Shop Assistant,Employed,37,12033,8,2025-04-11,False
REC000078,ENU0211,Madhya Pradesh,19,Male,Primary,None,Not in Labour Force,6,0,6,2025-03-02,False
REC000079,ENU0088,Madhya Pradesh,43,Female,Post Graduate,Government Officer,Employed,40,45456,6,2025-01-26,False
REC000080,ENU0101,Bihar,9,Male,Primary,None,Unemployed,0,0,3,2025-04-07,False
REC000081,ENU0107,Andhra Pradesh,36,Female,Illiterate,Domestic Help,Employed,34,5222,4,2025-01-01,False
REC000082,ENU0219,Odisha,55,Male,Secondary,None,Not in Labour Force,0,0,6,2025-10-15,False
REC000083,ENU0174,Gujarat,49,Male,Graduate,Clerk,Employed,45,14276,7,2025-05-19,False
REC000084,ENU0083,Uttar Pradesh,25,Male,Primary,None,Not in Labour Force,0,0,1,2025-07-10,False
REC000085,ENU0016,Karnataka,7,Female,Primary,None,Not in Labour Force,0,0,5,2025-04-04,False
REC000086,ENU0170,Kerala,22,Female,Secondary,None,Unemployed,0,0,3,2025-04-17,False
REC000087,ENU0217,Bihar,49,Male,Secondary,Street Vendor,Employed,51,3434,8,2025-03-08,False
REC000088,ENU0137,Karnataka,65,Female,Graduate,Teacher,Employed,66,31579,4,2025-07-13,False
REC000089,ENU0103,West Bengal,30,Male,Secondary,Factory Worker,Employed,31,7386,2,2025-09-26,False
REC000090,ENU0026,Telangana,33,Male,Higher Secondary,Driver,Employed,51,15202,2,2025-12-13,False
REC000091,ENU0076,Assam,39,Male,Higher Secondary,None,Not in Labour Force,0,0,2,2025-12-31,False
REC000092,ENU0027,Punjab,16,Female,Illiterate,Construction Worker,Employed,49,5821,5,2025-01-20,False
REC000093,ENU0106,Karnataka,32,Female,Graduate,IT Professional,Employed,52,50059,4,2025-06-09,False
REC000094,ENU0078,Telangana,34,Male,Illiterate,Domestic Help,Employed,51,9116,3,2025-08-05,False
REC000095,ENU0210,Gujarat,39,Male,Secondary,Shop Assistant,Employed,37,8069,5,2025-03-07,False
REC000096,ENU0226,Punjab,60,Male,Higher Secondary,None,Not in Labour Force,0,0,6,2025-06-12,False
REC000097,ENU0063,Kerala,42,Female,Secondary,Shop Assistant,Employed,40,9715,1,2025-02-28,False
REC000098,ENU0011,Assam,36,Female,Graduate,Sales Executive,Employed,48,34628,7,2025-06-23,False
REC000099,ENU0080,Uttar Pradesh,68,Female,Primary,None,Not in Labour Force,0,0,4,2025-07-05,False
REC000100,ENU0219,Kerala,53,Other,Primary,Construction Worker,Employed,43,7898,7,2025-04-25,False
REC000101,ENU0121,Bihar,27,Male,Graduate,None,Unemployed,0,0,2,2025-06-09,False
REC000102,ENU0231,Assam,56,Female,Primary,None,Not in Labour Force,0,0,7,2025-06-19,False
REC000103,ENU0201,Maharashtra,27,Male,Secondary,Shop Assistant,Employed,36,6920,6,2025-06-01,False
REC000104,ENU0087,Karnataka,32,Female,Secondary,Shop Assistant,Employed,34,10826,4,2025-11-24,False
REC000105,ENU0201,Punjab,41,Male,Higher Secondary,None,Not in Labour Force,0,0,7,2025-01-22,False
REC000106,ENU0141,Andhra Pradesh,17,Male,Higher Secondary,Clerk,Employed,50,26329,3,2025-02-21,False
REC000107,ENU0019,Telangana,11,Female,Primary,None,Not in Labour Force,0,0,2,2025-11-11,False
REC000108,ENU0249,Odisha,43,Female,Secondary,Carpenter,Employed,40,12363,4,2025-07-24,False
REC000109,ENU0057,Assam,36,Male,Primary,Street Vendor,Employed,20,3819,5,2025-09-21,False
REC000110,ENU0142,Kerala,50,Female,Primary,None,Not in Labour Force,0,0,6,2025-05-18,False
REC000111,ENU0033,Maharashtra,22,Male,Primary,Domestic Help,Employed,22,3127,5,2025-08-14,False
REC000112,ENU0093,West Bengal,47,Female,Secondary,None,Not in Labour Force,8,0,4,2025-06-08,False
REC000113,ENU0055,Karnataka,35,Male,Secondary,Driver,Employed,45,15082,4,2025-10-10,False
REC000114,ENU0194,Andhra Pradesh,29,Female,Secondary,None,Not in Labour Force,9,0,3,2025-07-28,False
REC000115,ENU0215,Madhya Pradesh,25,Male,Graduate,Clerk,Employed,28,11351,4,2025-04-03,False
REC000116,ENU0196,Maharashtra,26,Male,Graduate,Teacher,Employed,60,44042,2,2025-05-14,False
REC000117,ENU0041,Telangana,32,Female,Primary,None,Not in Labour Force,0,0,2,2025-04-13,False
REC000118,ENU0243,Assam,47,Female,Secondary,Factory Worker,Employed,20,4497,3,2025-12-14,False
REC000119,ENU0235,Karnataka,65,Male,Post Graduate,Engineer,Employed,52,59863,1,2025-05-16,False
REC000120,ENU0188,Rajasthan,34,Female,Higher Secondary,None,Unemployed,0,0,2,2025-10-21,False
REC000121,ENU0176,Tamil Nadu,46,Male,Primary,None,Not in Labour Force,0,0,5,2025-03-07,False
REC000122,ENU0068,Telangana,85,Female,Secondary,None,Not in Labour Force,1,0,3,2025-09-25,False
REC000123,ENU0166,Madhya Pradesh,42,Female,Higher Secondary,Carpenter,Employed,46,13083,4,2025-07-24,False
REC000124,ENU0155,Kerala,27,Male,Higher Secondary,Driver,Employed,56,16723,5,2025-06-17,False
REC000125,ENU0169,Andhra Pradesh,26,Male,Higher Secondary,Shop Assistant,Employed,44,10702,4,2025-03-31,False
REC000126,ENU0148,Gujarat,26,Female,Secondary,Factory Worker,Employed,36,7832,8,2025-04-19,False
REC000127,ENU0073,Rajasthan,27,Female,Secondary,None,Unemployed,0,0,7,2025-12-21,False
REC000128,ENU0130,Gujarat,29,Male,Higher Secondary,None,Unemployed,0,0,5,2025-04-21,False
REC000129,ENU0205,Telangana,42,Female,Primary,Factory Worker,Employed,50,14114,7,2025-09-24,False
REC000130,ENU0220,Tamil Nadu,60,Male,Graduate,Clerk,Employed,48,18543,2,2025-05-14,False
REC000131,ENU0009,Odisha,35,Male,Primary,Domestic Help,Employed,44,8158,4,2025-12-08,False
REC000132,ENU0173,Punjab,31,Female,Higher Secondary,Driver,Employed,48,15068,2,2025-07-07,False
REC000133,ENU0174,Madhya Pradesh,57,Male,Higher Secondary,Clerk,Employed,23,8592,5,2025-11-25,False
REC000134,ENU0094,Assam,22,Female,Illiterate,None,Unemployed,0,0,2,2025-12-11,False
REC000135,ENU0146,Karnataka,14,Female,Primary,None,Not in Labour Force,0,0,5,2025-08-12,False
REC000136,ENU0159,Bihar,27,Male,Graduate,IT Professional,Unemployed,0,0,3,2025-10-04,False
REC000137,ENU0137,Maharashtra,19,Female,Primary,None,Not in Labour Force,0,0,3,2025-01-29,False
REC000138,ENU0133,West Bengal,29,Female,Higher Secondary,Shop Assistant,Employed,22,3303,7,2025-10-14,False
REC000139,ENU0240,Telangana,33,Male,Graduate,Clerk,Employed,67,29405,5,2025-03-29,False
REC000140,ENU0231,Odisha,40,Male,Graduate,None,Not in Labour Force,0,0,5,2025-03-23,False
REC000141,ENU0127,Rajasthan,47,Male,Primary,Agricultural Labourer,Employed,56,7512,1,2025-05-15,False
REC000142,ENU0158,Andhra Pradesh,16,Male,Graduate,None,Unemployed,0,0,2,2025-04-08,False
REC000143,ENU0157,Uttar Pradesh,27,Female,Secondary,Street Vendor,Employed,43,5806,4,2025-11-14,False
REC000144,ENU0159,Assam,27,Female,Secondary,Factory Worker,Employed,71,20251,5,2025-02-11,False
REC000145,ENU0250,Odisha,71,Female,Post Graduate,None,Not in Labour Force,0,0,9,2025-01-11,False
REC000146,ENU0097,West Bengal,11,Female,Primary,None,Not in Labour Force,8,0,6,2025-03-18,False
REC000147,ENU0189,Gujarat,79,Female,Primary,None,Not in Labour Force,0,0,3,2025-07-30,False
REC000148,ENU0124,Telangana,29,Male,Illiterate,Agricultural Labourer,Employed,26,4412,3,2025-08-09,False
REC000149,ENU0206,Telangana,19,Female,Higher Secondary,None,Not in Labour Force,9,0,6,2025-03-27,False
REC000150,ENU0073,Maharashtra,27,Female,Graduate,Sales Executive,Employed,52,24834,1,2025-11-04,False
REC000151,ENU0071,Madhya Pradesh,41,Male,Post Graduate,Doctor,Employed,45,58191,5,2025-03-12,False
REC000152,ENU0142,Tamil Nadu,33,Male,Secondary,Factory Worker,Employed,47,9891,4,2025-02-27,False
REC000153,ENU0109,Karnataka,31,Female,Secondary,Shop Assistant,Employed,67,13402,3,2025-04-01,False
REC000154,ENU0094,Rajasthan,51,Male,Primary,None,Not in Labour Force,0,0,8,2025-12-13,False
REC000155,ENU0044,Andhra Pradesh,7,Male,Primary,None,Not in Labour Force,0,0,6,2025-08-27,False
REC000156,ENU0106,Punjab,33,Male,Primary,Construction Worker,Employed,37,7126,3,2025-03-02,False
REC000157,ENU0009,Assam,32,Male,Higher Secondary,Shop Assistant,Employed,35,8434,3,2025-06-19,False
REC000158,ENU0187,Rajasthan,60,Male,Post Graduate,None,Not in Labour Force,0,0,1,2025-06-23,False
REC000159,ENU0112,Maharashtra,36,Male,Higher Secondary,None,Unemployed,0,0,2,2025-02-17,False
REC000160,ENU0015,Uttar Pradesh,18,Male,Higher Secondary,None,Unemployed,0,0,3,2025-04-11,False
REC000161,ENU0182,West Bengal,36,Female,Secondary,Driver,Employed,44,15438,6,2025-10-30,False
REC000162,ENU0075,Uttar Pradesh,40,Female,Higher Secondary,Clerk,Employed,27,10283,5,2025-01-27,False
REC000163,ENU0224,Telangana,50,Female,Secondary,Street Vendor,Employed,21,4577,3,2025-03-10,False
REC000164,ENU0107,Odisha,19,Male,Graduate,None,Unemployed,0,0,2,2025-08-12,False
REC000165,ENU0074,Rajasthan,28,Male,Higher Secondary,Carpenter,Employed,57,15934,5,2025-10-01,False
REC000166,ENU0073,Karnataka,36,Female,Secondary,Factory Worker,Employed,39,9697,8,2025-07-20,False
REC000167,ENU0095,Maharashtra,70,Female,Secondary,None,Not in Labour Force,0,0,3,2025-02-09,False
REC000168,ENU0015,Madhya Pradesh,24,Male,Post Graduate,Government Officer,Employed,23,25954,9,2025-10-20,False
REC000169,ENU0157,Gujarat,32,Male,Graduate,None,Unemployed,0,0,5,2025-01-09,False
REC000170,ENU0126,Kerala,50,Female,Post Graduate,None,Not in Labour Force,0,0,4,2025-03-06,False
REC000171,ENU0077,Telangana,35,Male,Higher Secondary,None,Unemployed,0,0,3,2025-09-06,False
REC000172,ENU0199,Uttar Pradesh,32,Male,Post Graduate,None,Unemployed,0,0,9,2025-03-27,False
REC000173,ENU0154,Tamil Nadu,47,Female,Higher Secondary,Carpenter,Employed,38,7723,4,2025-01-21,False
REC000174,ENU0175,Kerala,16,Male,Primary,None,Unemployed,0,0,4,2025-03-15,False
REC000175,ENU0032,Karnataka,33,Female,Post Graduate,Bank Employee,Employed,41,40623,5,2025-04-29,False
REC000176,ENU0152,Uttar Pradesh,5,Female,Illiterate,None,Not in Labour Force,0,0,7,2025-04-28,False
REC000177,ENU0148,Madhya Pradesh,70,Male,Illiterate,None,Not in Labour Force,0,0,4,2025-04-10,False
REC000178,ENU0126,Telangana,32,Female,Higher Secondary,Driver,Employed,51,16748,6,2025-02-18,False
REC000179,ENU0153,West Bengal,25,Male,Secondary,Street Vendor,Employed,47,10833,7,2025-11-08,False
REC000180,ENU0027,Bihar,31,Female,Post Graduate,Doctor,Employed,31,23406,3,2025-02-22,False
REC000181,ENU0101,Madhya Pradesh,23,Female,Secondary,None,Not in Labour Force,0,0,1,2025-03-08,False
REC000182,ENU0107,Gujarat,49,Female,Primary,Domestic Help,Employed,47,6977,5,2025-03-25,False
REC000183,ENU0015,Uttar Pradesh,38,Female,Higher Secondary,Shop Assistant,Employed,42,11991,3,2025-03-27,False
REC000184,ENU0133,Telangana,37,Male,Secondary,Street Vendor,Employed,34,8883,6,2025-08-05,False
REC000185,ENU0240,Bihar,27,Female,Graduate,None,Unemployed,0,0,5,2025-07-05,False
REC000186,ENU0065,Bihar,44,Male,Higher Secondary,Driver,Unemployed,0,0,3,2025-04-29,False
REC000187,ENU0121,Madhya Pradesh,56,Male,Post Graduate,None,Not in Labour Force,0,0,2,2025-03-20,False
REC000188,ENU0162,Maharashtra,50,Female,Graduate,Clerk,Employed,47,21276,4,2025-12-06,False
REC000189,ENU0163,Maharashtra,66,Female,Graduate,None,Not in Labour Force,0,0,4,2025-10-21,False
REC000190,ENU0248,Punjab,27,Male,Secondary,Shop Assistant,Employed,38,9232,6,2025-07-10,False
REC000191,ENU0196,Karnataka,54,Male,Graduate,Sales Executive,Employed,40,20988,7,2025-01-17,False
REC000192,ENU0108,West Bengal,52,Female,Graduate,Clerk,Employed,48,18755,5,2025-08-18,False
REC000193,ENU0117,Rajasthan,39,Female,Primary,Domestic Help,Employed,50,8609,5,2025-05-03,False
REC000194,ENU0056,Maharashtra,31,Female,Secondary,Street Vendor,Employed,44,7386,5,2025-08-16,False
REC000195,ENU0141,Rajasthan,70,Male,Higher Secondary,None,Not in Labour Force,0,0,5,2025-09-12,False
REC000196,ENU0242,Rajasthan,16,Female,Post Graduate,Doctor,Employed,44,88307,3,2025-12-01,False
REC000197,ENU0244,Kerala,44,Male,Primary,None,Not in Labour Force,0,0,5,2025-07-10,False
REC000198,ENU0199,West Bengal,82,Male,Graduate,None,Not in Labour Force,0,0,4,2025-03-18,False
REC000199,ENU0041,Assam,7,Other,Primary,None,Not in Labour Force,1,0,3,2025-09-29,False
REC000200,ENU0120,West Bengal,16,Female,Secondary,Driver,Employed,34,10237,1,2025-10-10,False
REC000201,ENU0180,Karnataka,41,Male,Higher Secondary,Shop Assistant,Employed,52,9330,5,2025-11-12,False
REC000202,ENU0153,Uttar Pradesh,24,Male,Primary,None,Unemployed,0,0,4,2025-05-19,False
REC000203,ENU0022,Madhya Pradesh,16,Female,Higher Secondary,Driver,Employed,50,15203,4,2025-11-18,False
REC000204,ENU0132,Kerala,150,Male,Illiterate,None,Not in Labour Force,6,0,5,2025-02-12,True
REC000205,ENU0216,Kerala,69,Female,Primary,None,Not in Labour Force,0,0,4,2025-05-01,False
REC000206,ENU0049,Assam,43,Male,Primary,Street Vendor,Employed,55,11140,1,2025-01-03,False
REC000207,ENU0212,Maharashtra,66,Male,Higher Secondary,None,Not in Labour Force,0,0,4,2025-02-25,False
REC000208,ENU0121,Gujarat,40,Female,Secondary,Shop Assistant,Employed,70,18287,4,2025-03-19,False
REC000209,ENU0198,Odisha,40,Male,Higher Secondary,Carpenter,Employed,60,16120,2,2025-04-20,False
REC000210,ENU0121,Rajasthan,30,Male,Post Graduate,IT Professional,Employed,41,35876,6,2025-03-18,False
REC000211,ENU0005,Karnataka,38,Female,Secondary,Factory Worker,Employed,52,16289,7,2025-08-24,False
REC000212,ENU0233,West Bengal,46,Male,Primary,None,Not in Labour Force,6,0,3,2025-11-21,False
REC000213,ENU0123,Assam,51,Female,Secondary,Street Vendor,Employed,39,9818,3,2025-12-21,False
REC000214,ENU0155,Uttar Pradesh,16,Female,Illiterate,None,Not in Labour Force,0,0,3,2025-11-27,False
REC000215,ENU0149,Bihar,28,Female,Secondary,Street Vendor,Unemployed,0,0,1,2025-07-25,False
REC000216,ENU0190,West Bengal,65,Male,Secondary,Carpenter,Employed,28,7077,2,2025-09-14,False
REC000217,ENU0088,Maharashtra,18,Female,Secondary,None,Not in Labour Force,7,0,4,2025-08-10,False
REC000218,ENU0054,Odisha,52,Male,Secondary,None,Not in Labour Force,8,0,6,2025-01-03,False
REC000219,ENU0242,Kerala,33,Male,Primary,Domestic Help,Employed,52,6705,8,2025-07-01,False
REC000220,ENU0181,Tamil Nadu,51,Male,Secondary,None,Not in Labour Force,5,0,5,2025-09-15,False
REC000221,ENU0128,Rajasthan,21,Female,Secondary,Carpenter,Employed,40,12607,5,2025-07-25,False
REC000222,ENU0222,Rajasthan,83,Male,Higher Secondary,None,Not in Labour Force,0,0,2,2025-10-24,False
REC000223,ENU0058,Punjab,38,Male,Higher Secondary,None,Unemployed,0,0,5,2025-09-08,False
REC000224,ENU0044,Madhya Pradesh,37,Male,Higher Secondary,None,Unemployed,0,0,5,2025-10-31,False
REC000225,ENU0084,Gujarat,33,Male,Secondary,Factory Worker,Employed,37,5160,5,2025-04-05,False
REC000226,ENU0034,Tamil Nadu,12,Male,Primary,None,Not in Labour Force,0,0,4,2025-12-28,False
REC000227,ENU0139,Gujarat,34,Male,Post Graduate,None,Unemployed,0,0,4,2025-04-23,False
REC000228,ENU0189,Andhra Pradesh,32,Female,Post Graduate,Doctor,Employed,50,97095,5,2025-12-19,False
REC000229,ENU0095,Andhra Pradesh,45,Female,Higher Secondary,Technician,Employed,37,12307,4,2025-10-25,False
REC000230,ENU0166,Punjab,17,Male,Higher Secondary,None,Not in Labour Force,0,0,1,2025-08-21,False
REC000231,ENU0187,Uttar Pradesh,38,Male,Secondary,Street Vendor,Employed,37,5639,10,2025-09-19,False
REC000232,ENU0184,Bihar,26,Male,Illiterate,Domestic Help,Unemployed,0,0,4,2025-10-30,False
REC000233,ENU0093,West Bengal,39,Male,Secondary,Driver,Employed,35,9721,6,2025-03-02,False
REC000234,ENU0036,Punjab,59,Female,Secondary,None,Not in Labour Force,7,0,5,2025-09-29,False
REC000235,ENU0207,Maharashtra,28,Female,Primary,Street Vendor,Employed,33,5553,5,2025-12-08,False
REC000236,ENU0084,Uttar Pradesh,14,Male,Primary,None,Not in Labour Force,0,0,3,2025-05-25,False
REC000237,ENU0038,Assam,29,Male,Graduate,Bank Employee,Employed,54,66381,4,2025-02-22,False
REC000238,ENU0235,Telangana,54,Female,Graduate,None,Not in Labour Force,0,0,5,2025-02-19,False
REC000239,ENU0048,Maharashtra,39,Male,Secondary,Carpenter,Employed,33,5960,5,2025-02-22,False
REC000240,ENU0118,Madhya Pradesh,44,Male,Higher Secondary,Driver,Employed,53,17161,5,2025-04-30,False
REC000241,ENU0044,Kerala,44,Male,Primary,Domestic Help,Employed,39,5943,3,2025-08-05,False
REC000242,ENU0020,Bihar,34,Male,Secondary,Factory Worker,Employed,67,4173,2,2025-04-18,False
REC000243,ENU0139,Andhra Pradesh,47,Female,Secondary,Driver,Employed,69,22310,3,2025-03-17,False
REC000244,ENU0219,Kerala,29,Female,Secondary,Street Vendor,Employed,53,10668,7,2025-07-31,False
REC000245,ENU0016,Assam,42,Female,Secondary,Shop Assistant,Employed,39,8473,5,2025-03-26,False
REC000246,ENU0011,Madhya Pradesh,62,Male,Graduate,None,Not in Labour Force,0,0,5,2025-03-08,False
REC000247,ENU0054,Kerala,38,Male,Secondary,None,Not in Labour Force,5,0,4,2025-03-04,False
REC000248,ENU0247,Karnataka,41,Female,Secondary,Street Vendor,Employed,23,4939,6,2025-04-17,False
REC000249,ENU0006,Gujarat,36,Male,Primary,None,Not in Labour Force,6,0,3,2025-07-24,False
REC000250,ENU0078,Gujarat,38,Female,Secondary,Factory Worker,Employed,24,5257,2,2025-05-11,False
REC000251,ENU0182,Assam,51,Male,Illiterate,Domestic Help,Employed,48,7216,7,2025-05-24,False
REC000252,ENU0124,Bihar,36,Female,Higher Secondary,Technician,Employed,45,5619,4,2025-02-03,False
REC000253,ENU0220,Madhya Pradesh,33,Male,Higher Secondary,None,Unemployed,0,0,5,2025-06-16,False
REC000254,ENU0011,Tamil Nadu,16,Female,Primary,Domestic Help,Employed,37,4177,4,2025-02-05,False
REC000255,ENU0210,Karnataka,12,Male,Primary,None,Not in Labour Force,0,0,4,2025-05-05,False
REC000256,ENU0135,Maharashtra,43,Male,Illiterate,None,Not in Labour Force,0,0,5,2025-07-23,False
